player_name,pfr_id,position,weight_lbs,height_in,arm_length_in,hand_size_in,yard_40_dash_sec,yard_10_split_sec,cone_drill_sec,yard_20_shuttle_sec,vertical_jump_in,broad_jump_in,bench_press_reps
alex leatherwood,LeatAl00,ot,312.0,72.0,33.875,9.5,5.01,1.78,7.45,4.65,34.5,118.0,
alex lewis,LewiAl20,olb,228.0,72.0,,,4.78,,,4.31,34.5,121.0,25.0
alex smith,SmitAl03,qb,217.0,72.0,,,4.71,,,3.97,32.0,113.0,
alex stepanovich,StepAl20,c,304.0,72.0,,,5.29,,,4.54,25.5,96.0,
alexander mattison,MattAl01,rb,221.0,60.0,31.0,9.125,4.67,,7.13,4.29,35.0,127.0,22.0
alfonzo dennard,DennAl00,cb,204.0,60.0,30.0,9.5,4.55,,,,37.0,,
alfred blue,BlueAl00,rb,223.0,72.0,32.375,9.875,4.63,1.56,7.15,4.5,32.0,121.0,13.0
alfred morris,MorrAl00,rb,219.0,60.0,,,4.67,,7.01,4.19,35.0,117.0,16.0
alge crumpler,CrumAl00,te,266.0,72.0,,,4.76,,,4.43,34.0,112.0,22.0
ali marpet,MarpAl00,g,307.0,72.0,33.375,10.0,4.98,1.74,7.33,4.47,30.5,108.0,30.0
alijah vera-tucker,VeraAl00,g,308.0,72.0,32.125,9.625,5.13,1.77,7.7,4.63,32.0,106.0,32.0
alim mcneill,McNeAl00,dt,317.0,72.0,32.625,9.375,5.0,1.68,7.68,4.65,30.5,108.0,27.0
alize mack,MackAl00,te,249.0,72.0,33.75,9.375,4.7,,7.27,4.34,36.0,120.0,22.0
allen barbre,BarbAl20,ot,300.0,72.0,,,4.84,,,4.63,32.0,105.0,28.0
allen hurns,RobiAl02,wr,198.0,72.0,32.0,9.25,4.55,1.57,7.23,4.5,31.0,120.0,14.0
allen robinson,RobiAl02,wr,220.0,72.0,32.0,9.5,4.6,1.54,7.0,4.0,39.0,127.0,
alontae taylor,TaylAl01,cb,199.0,72.0,32.25,9.125,4.36,1.5,,,35.0,128.0,
alshon jeffery,JeffAl00,wr,216.0,72.0,33.0,10.25,4.48,1.64,6.71,4.17,36.5,122.0,
alvin bowen,BoweAl99,olb,223.0,72.0,,,4.79,,,4.3,34.0,119.0,15.0
alvin kamara,KamaAl00,rb,214.0,60.0,32.75,9.25,4.56,,,,39.5,131.0,15.0
alvin mckinley,McKiAl20,dt,289.0,72.0,,,5.09,,,4.61,27.5,102.0,22.0
alvin pearman,PearAl00,rb,208.0,60.0,,,4.63,,,4.1,34.0,114.0,24.0
amani oruwariye,OruwAm00,cb,205.0,72.0,31.375,9.0,4.47,,6.82,4.16,36.5,120.0,17.0
amara darboh,DarbAm00,wr,214.0,72.0,32.625,9.875,4.45,,,,36.0,124.0,17.0
amari cooper,CoopAm00,wr,211.0,72.0,31.5,10.0,4.42,1.62,6.71,3.98,33.0,120.0,
amari rodgers,RodgAm00,wr,212.0,60.0,30.375,9.5,4.52,1.65,7.07,4.31,33.0,121.0,19.0
ambry thomas,ThomAm00,cb,191.0,60.0,32.25,8.625,4.41,1.58,,,38.0,122.0,15.0
ameer abdullah,AbduAm00,rb,205.0,60.0,30.0,8.625,4.6,1.61,6.79,3.95,42.5,130.0,24.0
amik robertson,RobeAm00,cb,187.0,60.0,30.25,9.0,,,,,,,
amobi okoye,OkoyAm99,dt,302.0,72.0,,,5.07,,,,30.0,111.0,29.0
amon-ra st. brown,StxxAm00,wr,197.0,60.0,30.375,9.125,4.61,1.63,6.9,4.26,38.5,127.0,20.0
amos zereoue,ZereAm00,rb,203.0,60.0,,,4.53,,,4.09,,,
anders carlson,CarlAn00,k,218.0,72.0,31.625,9.5,,,,,,,
andre  williams,WillAn00,rb,230.0,60.0,33.5,9.0,4.56,1.56,7.27,4.06,38.0,129.0,
andre brown,BrowAn03,rb,224.0,72.0,,,4.37,,,4.33,37.0,115.0,24.0
andre caldwell,CaldAn00,wr,204.0,72.0,,,4.35,,,4.11,33.0,124.0,
andre dillard,DillAn00,ot,315.0,72.0,33.5,10.0,4.96,,7.44,4.4,29.0,118.0,24.0
andre ellington,ElliAn00,rb,199.0,60.0,31.0,9.375,4.61,1.56,,,34.0,122.0,
andre johnson,JohnAn02,wr,230.0,72.0,,,4.4,,,4.1,39.0,132.0,17.0
andre king,KingAn00,wr,199.0,72.0,,,4.61,,,,35.5,,
andre roberts,RobeAn00,wr,195.0,60.0,31.5,9.5,4.4,1.52,6.77,4.15,36.0,120.0,15.0
andre' davis,DaviAn01,wr,194.0,72.0,,,4.42,,,4.1,39.5,123.0,
andrei iosivas,IosiAn00,wr,205.0,72.0,32.0,8.75,4.43,1.52,6.85,4.12,39.0,128.0,19.0
andrew billings,BillAn00,dt,311.0,72.0,33.0,10.0,5.05,1.77,8.05,4.82,27.5,113.0,31.0
andrew booth jr.,BootAn00,cb,194.0,72.0,31.5,9.375,,,,,,,
andrew datko,DatkAn00,ot,315.0,72.0,33.875,10.0,5.32,,7.71,4.54,29.0,100.0,
andrew donnal,DonnAn00,ot,313.0,72.0,33.5,10.0,5.31,1.78,7.84,4.77,32.0,101.0,17.0
andrew jackson,JackAn00,g,299.0,72.0,32.5,10.25,5.27,,,4.65,28.0,98.0,25.0
andrew luck,LuckAn00,qb,234.0,72.0,32.625,10.0,4.67,,6.8,4.28,36.0,124.0,
andrew quarless,QuarAn00,te,254.0,72.0,34.0,10.25,4.68,1.66,7.29,4.57,32.0,112.0,23.0
andrew tiller,TillAn01,g,324.0,72.0,33.25,9.375,5.5,,7.92,4.8,23.0,85.0,16.0
andrew vorhees,VorhAn00,g,310.0,72.0,32.125,10.0,,,,,29.0,105.0,38.0
andrew whitworth,WhitAn20,ot,334.0,72.0,,,5.16,,,4.84,30.5,112.0,28.0
andy alleman,AlleAn20,g,305.0,72.0,,,5.07,,,4.65,30.0,106.0,27.0
andy dalton,DaltAn00,qb,215.0,72.0,31.75,9.5,4.83,,,4.27,29.5,106.0,
andy gallik,GallAn00,c,306.0,72.0,32.75,10.25,5.5,1.87,7.66,4.58,27.0,96.0,29.0
andy janovich,JanoAn00,fb,238.0,72.0,31.625,9.75,4.81,1.62,7.28,4.32,34.0,119.0,30.0
andy levitre,LeviAn20,g,305.0,72.0,,,5.33,,,4.52,30.5,103.0,23.0
anfernee jennings,JennAn00,lb,256.0,72.0,32.875,9.125,,,,,,,
anquan boldin,BoldAn00,wr,216.0,72.0,,,4.72,1.61,7.35,4.33,33.5,114.0,
anthony adams,AdamAn20,dt,299.0,72.0,,,5.13,,,4.59,30.5,109.0,
anthony alabi,AlabAn20,ot,310.0,72.0,,,5.12,,,4.6,32.5,105.0,18.0
anthony allen,AlleAn01,rb,228.0,72.0,30.375,9.625,4.56,,,4.06,41.5,120.0,24.0
anthony averett,AverAn00,cb,183.0,60.0,30.25,8.5,4.36,,6.93,4.4,31.5,119.0,13.0
anthony barr,BarrAn00,olb,255.0,72.0,33.5,9.375,4.66,1.56,6.82,4.19,34.5,119.0,15.0
anthony becht,BechAn00,te,270.0,72.0,,,4.78,,,4.08,33.5,123.0,
anthony bradford,BradAn00,g,332.0,72.0,33.5,9.5,5.08,1.74,7.84,4.8,30.0,106.0,34.0
anthony brown,BrowAn02,cb,192.0,60.0,31.75,8.25,4.35,1.55,7.03,4.19,35.0,115.0,19.0
anthony castonzo,CastAn00,ot,311.0,72.0,34.5,10.625,5.21,,,4.4,29.5,105.0,28.0
anthony collins,CollAn21,ot,317.0,72.0,,,5.54,,,4.87,22.5,97.0,26.0
anthony davis,DaviAn27,ot,323.0,72.0,34.0,10.125,5.36,,,4.97,33.0,,21.0
anthony dixon,DixoAn00,rb,233.0,72.0,32.625,9.75,4.67,,,4.49,33.0,121.0,15.0
anthony fasano,FasaAn00,te,259.0,72.0,,,4.86,,,4.34,33.5,,19.0
anthony gonzalez,GonzAn00,wr,193.0,72.0,31.25,9.125,4.44,1.48,6.54,4.08,38.0,123.0,16.0
anthony henry,HenrAn20,cb,198.0,72.0,,,4.6,,,4.21,41.0,126.0,15.0
anthony hill,HillAn00,te,262.0,72.0,,,4.84,,,4.56,30.5,107.0,21.0
anthony mccoy,McCoAn00,te,259.0,72.0,34.0,10.375,4.71,1.66,6.99,4.57,35.5,113.0,19.0
anthony mcfarland,McFaAn00,rb,208.0,60.0,30.375,8.875,4.44,,,,29.5,116.0,
anthony mcfarland,McFaAn20,dt,299.0,72.0,,,4.85,,,4.28,28.5,120.0,25.0
anthony miller,MillAn02,wr,201.0,60.0,31.625,10.0,,,,,,,22.0
anthony richardson,RichAn03,qb,244.0,72.0,32.75,10.5,4.43,1.53,,,40.5,129.0,
anthony schwartz,SchwAn00,wr,186.0,72.0,31.5,9.375,4.27,1.51,7.13,4.25,32.0,123.0,
anthony sherman,SherAn00,fb,242.0,60.0,30.0,9.375,4.74,,,4.41,32.5,111.0,32.0
anthony thomas,ThomAn01,rb,229.0,72.0,,,4.58,,,4.44,32.5,,20.0
