name,position,height_in,weight,sprint_speed,avg_hit_speed,brl_percent,WAR,wRC+,wOBA,BB%,K%,Hard%,WAR_z
Abraham Toro,1B,72,223,27.9,87.2,4.3,0.7,87.0,0.283,0.055,0.17,0.249,-0.14112529920848096
Maikel Garcia,3B,73,180,27.9,90.4,3.7,1.3,71.0,0.27,0.067,0.165,0.301,0.06118744651188564
Austin Riley,3B,73,225,27.9,93.3,14.9,2.4,116.0,0.338,0.079,0.252,0.421,0.708362361541446
Tommy Edman,2B,70,193,27.9,87.6,3.6,0.8,97.0,0.307,0.072,0.196,0.3329999999999999,-0.5019733522537244
Jarred Kelenic,RF,71,206,27.9,89.8,9.9,0.5,87.0,0.294,0.071,0.296,0.392,-0.3855948320325789
Jake Burger,1B,72,230,27.9,91.3,12.3,1.4,107.0,0.325,0.054,0.259,0.3779999999999999,0.3237580393606327
Kyle Isbel,CF,70,190,27.9,88.1,3.9,1.5,82.0,0.286,0.063,0.207,0.268,0.03922010311106311
Heliot Ramos,LF,71,235,27.9,91.5,14.5,2.3,120.0,0.339,0.071,0.261,0.317,0.5694457879114534
Richie Palacios,LF,68,185,27.9,86.2,3.5,1.3,101.0,0.303,0.142,0.212,0.207,0.008164097317727107
MJ Melendez,LF,72,190,27.8,91.1,8.4,-0.2,86.0,0.292,0.078,0.251,0.344,-0.8337584385728625
Ramón Laureano,RF,69,203,27.8,89.2,12.6,0.9,108.0,0.324,0.049,0.311,0.314,-0.20234184255174942
Ryan O'Hearn,1B,74,220,27.8,89.6,6.9,1.6,118.0,0.33,0.093,0.14,0.34,0.4565818503803796
Luis Matos,RF,71,205,27.8,86.9,3.9,-0.8,60.0,0.25,0.032,0.154,0.283,-0.9811670478452746
Dansby Swanson,SS,72,190,27.8,89.4,9.2,4.2,97.0,0.307,0.091,0.243,0.31,0.736442097177609
Mark Canha,LF,73,200,27.8,88.4,3.3,0.8,101.0,0.31,0.11,0.208,0.272,-0.27247674797913607
Victor Robles,RF,72,193,27.8,86.7,6.2,3.1,141.0,0.357,0.071,0.18,0.252,0.8055495995928125
Alek Thomas,CF,69,175,27.8,91.2,7.6,-0.2,65.0,0.262,0.068,0.165,0.418,-1.1147560076567522
Patrick Wisdom,1B,74,220,27.8,90.9,15.8,-0.2,74.0,0.271,0.057,0.3389999999999999,0.287,-0.7388324487973414
Taylor Walls,SS,69,185,27.8,86.1,3.2,-0.2,60.0,0.245,0.123,0.266,0.253,-0.9816201073353826
Brett Wisely,2B,69,185,27.8,86.8,5.2,0.6,75.0,0.272,0.048,0.239,0.255,-0.6364305001788293
Edward Olivares,RF,73,190,27.8,86.8,6.4,-0.9,74.0,0.276,0.0819999999999999,0.1889999999999999,0.2339999999999999,-1.0269802952154818
Shea Langeliers,C,71,205,27.8,91.3,12.8,2.0,109.0,0.315,0.077,0.272,0.364,0.5314760277404494
Isiah Kiner-Falefa,SS,70,195,27.8,86.1,2.3,2.1,93.0,0.299,0.032,0.157,0.26,-0.08354213679450065
Colt Keith,2B,74,211,27.7,87.8,5.6,1.7,95.0,0.301,0.065,0.198,0.2789999999999999,0.10308381340924698
Kody Clemens,2B,72,200,27.7,89.4,7.1,0.1,90.0,0.301,0.042,0.242,0.3289999999999999,-0.972573369991591
Henry Davis,C,71,225,27.7,85.3,4.8,-0.7,31.0,0.213,0.107,0.369,0.177,-1.285350822453834
Nick Loftin,LF,71,180,27.7,83.6,3.1,-0.2,51.0,0.242,0.111,0.14,0.173,-0.8337584385728625
Ronald Acuña Jr.,RF,72,205,27.7,92.2,9.4,0.9,106.0,0.322,0.122,0.239,0.374,-0.20234184255174942
Robbie Grossman,LF,72,209,27.7,86.3,3.3,-0.5,83.0,0.283,0.139,0.237,0.263,-1.0021429457509805
Jake Cave,CF,72,200,27.7,87.5,5.2,-0.3,75.0,0.295,0.052,0.283,0.3229999999999999,-1.1826369553489768
Nick Ahmed,SS,73,201,27.7,84.9,3.0,0.5,59.0,0.248,0.048,0.2239999999999999,0.1939999999999999,-0.7082920293446794
Kerry Carpenter,RF,73,220,27.7,90.5,17.7,2.4,158.0,0.39,0.074,0.253,0.3329999999999999,0.4848568680013609
Jake Cronenworth,2B,71,187,27.7,88.6,7.8,2.1,105.0,0.315,0.093,0.18,0.309,0.37199810925945664
Riley Greene,LF,74,200,27.7,91.3,13.4,3.9,134.0,0.355,0.11,0.267,0.335,1.4674964928614156
Gavin Lux,LF,71,190,27.7,88.3,6.0,1.4,98.0,0.31,0.09,0.226,0.302,0.06429226637709967
Nick Gordon,SS,72,160,27.7,86.1,6.1,-0.7,70.0,0.271,0.04,0.244,0.25,-1.1768544487573134
Nick Allen,SS,67,166,27.6,84.4,1.3,-0.6,33.0,0.207,0.048,0.19,0.15,-1.1378075804729273
Andy Ibáñez,3B,70,205,27.6,88.1,4.9,0.7,86.0,0.287,0.061,0.258,0.307,-0.2918170525951474
Francisco Lindor,SS,70,190,27.6,90.9,13.6,7.7,137.0,0.363,0.081,0.184,0.366,2.103082487131125
Lawrence Butler,RF,75,210,27.6,91.1,11.0,3.1,130.0,0.345,0.078,0.239,0.37,0.8055495995928125
Josh Smith,SS,69,172,27.6,87.8,3.7,2.9,112.0,0.323,0.078,0.204,0.265,0.22883280948058865
Ryan Mountcastle,1B,75,220,27.6,90.8,8.8,1.4,107.0,0.316,0.053,0.225,0.3339999999999999,0.3237580393606327
JJ Bleday,CF,74,205,27.6,88.5,8.3,3.2,120.0,0.33,0.104,0.195,0.3279999999999999,1.1931962138788785
Andruw Monasterio,SS,71,195,27.6,88.1,9.4,-0.2,69.0,0.266,0.113,0.282,0.341,-0.9816201073353826
Korey Lee,C,72,225,27.6,88.3,7.5,-0.4,65.0,0.257,0.043,0.31,0.322,-1.0834811724322468
Brent Rooker,RF,75,225,27.6,91.9,16.6,5.1,164.0,0.392,0.096,0.288,0.386,1.7218145469969595
Wilyer Abreu,RF,70,215,27.5,91.6,11.1,3.1,116.0,0.336,0.089,0.28,0.344,0.8055495995928125
Javier Báez,CF,71,190,27.5,88.3,7.8,-0.7,41.0,0.224,0.042,0.239,0.272,-1.4541607461178745
Tyler O'Neill,RF,69,200,27.5,90.9,17.3,2.5,133.0,0.36,0.1119999999999999,0.336,0.346,0.5306701153715683
Matt Wallner,RF,76,220,27.5,92.8,17.5,2.0,154.0,0.385,0.092,0.364,0.405,0.3016038785205315
Randal Grichuk,RF,72,210,27.5,90.6,11.0,1.6,139.0,0.373,0.072,0.165,0.395,0.11835088903970213
Jorge Polanco,2B,72,208,27.5,88.3,8.9,0.3,93.0,0.287,0.098,0.292,0.309,-0.8381162220664864
Darell Hernaiz,3B,71,190,27.5,87.1,1.0,-0.5,50.0,0.23,0.081,0.2,0.2189999999999999,-0.9978260508092133
Nelson Velázquez,OF,71,190,27.5,88.2,8.8,-0.5,78.0,0.28,0.083,0.265,0.313,-0.10564094108153319
Vidal Bruján,3B,69,180,27.5,85.1,1.5,-0.3,74.0,0.276,0.09,0.1939999999999999,0.205,-0.8801578844402024
Christian Bethancourt,1B,75,205,27.5,89.1,7.6,0.2,66.0,0.263,0.034,0.245,0.295,-0.4731848267578478
Kevin Newman,3B,72,195,27.5,85.6,1.6,1.4,89.0,0.298,0.048,0.154,0.21,0.12002152969639106
Manuel Margot,RF,70,229,27.5,88.2,4.9,-0.2,78.0,0.276,0.061,0.157,0.283,-0.7062875636240303
Bryan De La Cruz,OF,72,175,27.5,89.6,9.3,-1.1,78.0,0.283,0.047,0.273,0.327,-0.566619593073678
Trey Lipscomb,3B,74,202,27.5,86.5,0.7,-0.9,45.0,0.231,0.076,0.19,0.204,-1.2331623835472352
Nick Castellanos,RF,75,203,27.4,88.4,8.1,0.2,104.0,0.321,0.062,0.211,0.33,-0.523034574143201
Oswaldo Cabrera,3B,72,200,27.4,88.2,3.7,1.0,89.0,0.29,0.064,0.193,0.27,-0.11531480304163087
Xander Bogaerts,SS,74,218,27.4,88.1,5.1,2.0,95.0,0.3,0.06,0.171,0.27,-0.12258900507888686
Vaughn Grissom,2B,74,210,27.4,86.1,4.9,-0.7,30.0,0.213,0.061,0.211,0.2319999999999999,-1.5104019616920101
Bryce Harper,1B,73,210,27.4,91.1,10.6,5.1,144.0,0.38,0.12,0.2189999999999999,0.395,2.780998543225948
Michael Toglia,1B,77,226,27.4,92.1,17.3,0.4,98.0,0.329,0.118,0.321,0.451,-0.34036101573810107
Christian Encarnacion-Strand,1B,73,224,27.4,87.8,8.4,-0.7,35.0,0.223,0.033,0.285,0.289,-1.0708919763467082
Nick Martini,RF,71,205,27.4,87.4,7.2,-0.5,72.0,0.279,0.055,0.233,0.225,-0.8437273057346525
Willy Adames,SS,72,216,27.4,88.6,12.0,4.8,120.0,0.342,0.108,0.251,0.325,0.9707233068839258
Jeimer Candelario,3B,73,222,27.4,86.9,8.2,-0.3,89.0,0.304,0.0579999999999999,0.246,0.282,-0.8801578844402024
Gabriel Arias,SS,73,217,27.4,89.7,7.9,-0.2,70.0,0.263,0.037,0.3289999999999999,0.317,-0.9816201073353826
Will Smith,C,70,195,27.4,89.4,10.8,2.6,109.0,0.326,0.094,0.193,0.344,0.9352153277836236
Charlie Blackmon,CF,75,221,27.4,84.8,5.2,0.0,93.0,0.323,0.086,0.172,0.286,-0.9789941122723034
Seth Brown,LF,73,223,27.4,90.0,8.4,-0.4,91.0,0.289,0.063,0.28,0.3329999999999999,-0.9460147766916077
Christopher Morel,LF,72,200,27.3,89.2,10.2,-1.0,81.0,0.28,0.1,0.26,0.336,-1.2827837910478437
Dylan Carlson,LF,73,200,27.3,86.8,2.5,-1.1,67.0,0.257,0.083,0.283,0.258,-1.3389119601072164
Nick Senzel,3B,72,217,27.3,84.0,5.7,-0.5,73.0,0.273,0.105,0.228,0.29,-0.9978260508092133
Bo Bichette,SS,71,190,27.3,89.2,4.4,0.3,70.0,0.264,0.06,0.19,0.305,-0.7863857659134518
Michael Busch,1B,71,210,27.3,89.9,11.2,2.2,118.0,0.336,0.111,0.286,0.308,0.8550532834396198
Lenyn Sosa,2B,71,210,27.3,89.0,6.1,0.1,81.0,0.28,0.033,0.209,0.278,-0.972573369991591
Josh Jung,3B,73,214,27.3,86.2,9.9,0.3,104.0,0.311,0.043,0.255,0.3279999999999999,-0.5271533853331694
Mauricio Dubón,2B,71,173,27.3,86.1,2.8,1.1,86.0,0.286,0.037,0.129,0.242,-0.30028763036606726
Rob Refsnyder,RF,71,215,27.3,89.6,9.7,1.3,132.0,0.358,0.091,0.254,0.303,-0.01908885307091997
Santiago Espinal,3B,69,185,27.3,85.9,1.9,0.0,76.0,0.285,0.061,0.138,0.206,-0.7036556348866858
Eddie Rosario,OF,72,180,27.3,91.0,5.3,-2.0,44.0,0.23,0.05,0.241,0.327,-1.258087571061895
Tommy Pham,LF,73,225,27.2,90.4,7.2,-0.1,92.0,0.297,0.073,0.222,0.319,-0.7776302695134899
Spencer Torkelson,1B,73,220,27.2,89.0,6.7,0.1,91.0,0.295,0.087,0.276,0.244,-0.5395967322677212
Iván Herrera,C,71,220,27.3,89.3,9.0,2.1,128.0,0.351,0.0969999999999999,0.205,0.36,0.5987659110809785
Ozzie Albies,2B,67,165,27.2,88.4,6.2,1.3,96.0,0.307,0.062,0.149,0.293,-0.1658304824409625
Jake Bauers,1B,72,216,27.2,89.4,10.3,0.1,88.0,0.294,0.113,0.341,0.337,-0.5395967322677212
Vladimir Guerrero Jr.,1B,72,245,27.2,93.8,13.7,5.3,164.0,0.398,0.103,0.138,0.412,2.9138223542456947
Jesús Sánchez,RF,75,222,27.2,92.5,12.2,1.6,101.0,0.317,0.076,0.261,0.385,0.11835088903970213
Brandon Lowe,2B,69,181,27.2,89.8,12.4,2.2,123.0,0.335,0.078,0.264,0.3779999999999999,0.4392266832220091
Davis Schneider,LF,68,190,27.2,88.6,12.0,0.4,80.0,0.277,0.104,0.317,0.337,-0.4969894242166267
Mike Tauchman,RF,73,215,27.2,89.0,7.4,1.0,110.0,0.325,0.134,0.2,0.297,-0.15652859518154208
Luis García Jr.,2B,73,216,27.2,89.1,8.0,3.0,110.0,0.328,0.051,0.163,0.318,0.977055274922428
Gabriel Moreno,C,69,195,27.2,90.0,6.6,2.5,107.0,0.325,0.1169999999999999,0.148,0.3279999999999999,0.8679254444430945
Jacob Wilson,SS,74,190,27.2,85.4,0.0,0.0,86.0,0.281,0.078,0.0969999999999999,0.238,-0.9035263707666102
Mike Yastrzemski,RF,70,180,27.2,90.4,10.5,1.7,106.0,0.319,0.08,0.262,0.337,0.16416413640990943
Jose Altuve,LF,66,167,27.1,86.5,6.5,3.9,127.0,0.344,0.069,0.174,0.285,1.4674964928614156
Yainer Diaz,C,71,195,27.1,90.2,7.6,3.0,116.0,0.329,0.039,0.173,0.319,1.2043748611457397
Ketel Marte,2B,72,210,27.1,94.0,12.3,6.3,152.0,0.391,0.111,0.182,0.43,3.1955982156866565
Tim Anderson,SS,72,185,27.1,86.1,1.8,-1.4,28.0,0.208,0.0289999999999999,0.282,0.273,-1.4501825267480166
Steven Kwan,LF,68,170,27.1,86.3,2.6,4.2,131.0,0.349,0.098,0.094,0.251,1.6358810000395336
Starling Marte,LF,72,195,27.1,89.8,6.9,0.6,103.0,0.313,0.073,0.2189999999999999,0.263,-0.3847330860978814
Willson Contreras,1B,72,240,27.1,91.6,11.2,2.7,141.0,0.37,0.126,0.268,0.385,1.1871128109889868
Nicky Lopez,3B,70,185,27.1,85.0,1.5,0.9,77.0,0.275,0.083,0.151,0.178,-0.17414888622613636
Jake Rogers,C,71,201,27.1,89.0,9.9,2.2,70.0,0.264,0.065,0.294,0.347,0.6660557944215076
Dominic Canzone,RF,72,190,27.1,89.9,11.1,0.1,88.0,0.28,0.096,0.282,0.308,-0.5688478215134083
Austin Hays,LF,70,200,27.1,88.9,6.7,0.2,97.0,0.303,0.035,0.231,0.358,-0.609245762335372
Sean Bouchard,RF,74,215,27.1,89.8,4.9,-0.5,55.0,0.266,0.111,0.306,0.344,-0.8437273057346525
Enrique Hernández,1B,70,195,27.0,89.6,4.8,0.6,82.0,0.285,0.069,0.196,0.353,-0.20753720471835432
Joey Bart,C,74,242,27.0,88.1,9.4,1.3,121.0,0.347,0.078,0.259,0.331,0.06044684435674642
Ryan Noda,1B,73,217,27.0,86.2,5.1,-0.6,44.0,0.223,0.126,0.3329999999999999,0.271,-1.0044800708368349
Josh Rojas,3B,73,200,27.0,88.2,5.7,1.9,92.0,0.286,0.0969999999999999,0.2269999999999999,0.3,0.41419194561891853
Brendan Donovan,2B,71,210,27.0,88.7,5.5,3.2,115.0,0.332,0.072,0.124,0.307,1.1115124228475328
Tyler Soderstrom,LF,74,200,27.0,91.9,14.6,0.3,114.0,0.322,0.094,0.249,0.38,-0.5531175932759993
Geraldo Perdomo,SS,74,203,27.0,87.0,3.1,2.0,102.0,0.317,0.093,0.149,0.251,-0.12258900507888686
DJ Stewart,RF,71,230,27.0,89.7,8.1,-0.2,88.0,0.29,0.16,0.247,0.342,-0.7062875636240303
Lars Nootbaar,LF,73,205,27.0,91.8,9.9,1.7,114.0,0.331,0.128,0.195,0.3879999999999999,0.23267677355521763
Curtis Mead,1B,73,225,26.9,88.8,4.3,-0.3,67.0,0.255,0.045,0.2269999999999999,0.301,-0.8052443543072147
Jerar Encarnacion,RF,76,265,26.9,95.0,15.0,-0.1,94.0,0.301,0.042,0.286,0.4379999999999999,-0.660474316253823
Jonah Bride,3B,71,200,26.9,87.1,5.4,1.1,124.0,0.351,0.11,0.2019999999999999,0.283,-0.05648071985712533
Brett Baty,3B,75,210,26.9,86.6,5.4,0.5,83.0,0.282,0.094,0.246,0.2319999999999999,-0.40948521896415835
Max Muncy,3B,70,215,26.9,90.2,10.8,2.3,133.0,0.362,0.154,0.263,0.331,0.6495282783569405
David Peralta,LF,73,210,26.9,88.1,5.5,0.5,115.0,0.329,0.085,0.208,0.319,-0.44086125515725405
Luis Rengifo,3B,69,204,26.9,87.0,2.5,1.5,118.0,0.335,0.053,0.145,0.3,0.1788556128808966
Connor Joe,RF,71,205,26.9,85.3,4.7,0.5,93.0,0.305,0.106,0.2189999999999999,0.233,-0.3855948320325789
Trent Grisham,CF,70,221,26.9,90.6,12.0,0.5,93.0,0.295,0.105,0.273,0.304,-0.6395893738111812
Ramón Urías,3B,69,185,26.9,88.3,8.7,0.9,114.0,0.325,0.076,0.183,0.294,-0.17414888622613636
Jorge Soler,RF,75,235,26.9,90.5,12.6,1.1,120.0,0.34,0.118,0.246,0.374,-0.11071534781133467
Adolis García,RF,72,205,26.8,91.0,12.5,-0.1,94.0,0.296,0.071,0.278,0.364,-0.660474316253823
Aaron Judge,RF,79,282,26.8,96.2,26.9,11.3,220.0,0.476,0.1889999999999999,0.243,0.477,4.562235883949817
Jason Heyward,LF,77,240,26.8,88.0,5.6,0.8,93.0,0.3,0.085,0.205,0.258,-0.27247674797913607
Juan Soto,RF,73,224,26.8,94.2,19.7,8.3,181.0,0.421,0.181,0.1669999999999999,0.43,3.1878384628435956
Andrew McCutchen,RF,70,190,26.8,88.5,12.0,0.5,106.0,0.325,0.113,0.258,0.341,-0.3855948320325789
Alex Kirilloff,RF,74,195,26.8,91.3,11.3,-0.3,82.0,0.282,0.084,0.264,0.409,-0.7521008109942378
Anthony Rendon,3B,73,200,26.8,87.9,2.3,-0.1,69.0,0.264,0.0969999999999999,0.147,0.297,-0.7624897180711914
Brayan Rocchio,SS,69,170,26.8,84.6,4.0,1.1,79.0,0.276,0.1,0.204,0.233,-0.47401081963836234
Max Kepler,LF,76,225,26.8,88.9,6.2,0.9,93.0,0.298,0.055,0.201,0.299,-0.21634857891976347
Carlos Correa,SS,75,220,26.8,90.3,9.2,4.2,154.0,0.385,0.109,0.166,0.332,0.736442097177609
Michael Massey,2B,72,195,26.8,89.2,7.1,1.6,104.0,0.317,0.042,0.157,0.3329999999999999,0.035855239446694685
J.P. Crawford,SS,72,202,26.8,87.5,6.5,1.6,90.0,0.283,0.115,0.226,0.289,-0.2787764782164315
Paul DeJong,3B,72,205,26.8,87.8,10.2,1.8,96.0,0.302,0.048,0.324,0.332,0.35535786243441314
Alex Jackson,C,73,238,26.8,86.7,9.1,-0.1,29.0,0.2,0.077,0.342,0.261,-0.8816115224106599
Taylor Ward,LF,72,200,26.8,90.9,13.0,2.8,112.0,0.325,0.095,0.246,0.4,0.8500866332083166
Garrett Cooper,1B,76,235,26.8,85.9,9.7,-0.4,58.0,0.253,0.06,0.302,0.278,-0.8716562598170882
Emmanuel Rivera,3B,72,225,26.7,89.7,7.9,0.3,86.0,0.291,0.086,0.228,0.386,-0.5271533853331694
Ildemaro Vargas,2B,71,202,26.7,87.0,1.2,0.0,72.0,0.271,0.063,0.102,0.239,-1.0398019439541435
Hunter Renfroe,RF,73,230,26.7,88.5,6.6,0.1,93.0,0.302,0.085,0.198,0.305,-0.5688478215134083
Nick Fortes,C,71,198,26.7,84.3,1.4,0.6,58.0,0.252,0.033,0.122,0.215,-0.41058233902695673
Alex Bregman,3B,70,190,26.7,89.1,6.4,4.2,117.0,0.331,0.069,0.136,0.299,1.767375858862545
Mookie Betts,SS,69,180,26.7,89.9,6.0,4.3,140.0,0.371,0.118,0.11,0.327,0.775488965461995
Alex Verdugo,LF,72,209,26.7,88.3,5.6,0.6,85.0,0.283,0.079,0.15,0.314,-0.3847330860978814
Adam Frazier,2B,70,190,26.7,84.5,2.9,-0.5,65.0,0.261,0.075,0.201,0.238,-1.3759448137669057
Austin Wells,C,73,220,26.7,88.4,9.1,3.5,107.0,0.315,0.114,0.21,0.3379999999999999,1.5408242778483847
Juan Yepez,1B,72,235,26.7,86.6,5.9,0.4,112.0,0.331,0.072,0.1689999999999999,0.271,-0.34036101573810107
Andrew Benintendi,LF,69,185,26.7,88.0,6.3,-0.1,93.0,0.298,0.079,0.184,0.307,-0.7776302695134899
Edouard Julien,2B,73,195,26.7,87.8,9.8,0.0,79.0,0.278,0.11,0.3389999999999999,0.2739999999999999,-1.0398019439541435
Gavin Sheets,LF,75,235,26.7,87.8,5.7,-0.8,88.0,0.291,0.086,0.212,0.282,-1.1705274529290983
Luis Torrens,C,71,217,26.6,89.6,6.6,0.8,89.0,0.292,0.069,0.215,0.396,-0.27600257234589864
Miguel Andujar,LF,72,211,26.6,86.1,2.7,0.4,103.0,0.306,0.0409999999999999,0.132,0.207,-0.4969894242166267
Gleyber Torres,2B,70,205,26.6,88.6,6.3,1.8,105.0,0.313,0.098,0.205,0.2689999999999999,0.17031238737179943
Bo Naylor,C,69,205,26.6,88.8,8.1,1.6,74.0,0.269,0.075,0.314,0.28,0.2623164943783335
Lourdes Gurriel Jr.,LF,75,215,26.6,88.4,6.7,2.1,108.0,0.327,0.052,0.183,0.321,0.45718944979270826
Royce Lewis,3B,72,200,26.6,87.1,11.2,1.1,106.0,0.317,0.086,0.228,0.345,-0.05648071985712533
Freddy Fermin,C,70,200,26.6,88.2,3.2,1.9,92.0,0.3,0.063,0.179,0.256,0.4641861443999204
Adley Rutschman,C,73,230,26.6,88.2,6.1,2.7,103.0,0.309,0.091,0.161,0.286,1.0025052111241526
Cal Raleigh,C,74,235,26.6,91.0,15.4,5.4,118.0,0.323,0.111,0.28,0.3939999999999999,2.8193320613184363
Danny Jansen,C,74,240,26.6,86.6,6.4,0.6,90.0,0.294,0.123,0.188,0.282,-0.41058233902695673
Tyler Stephenson,C,75,225,26.5,90.2,9.1,3.1,113.0,0.339,0.093,0.2269999999999999,0.319,1.2716647444862688
Eugenio Suárez,3B,71,213,26.5,89.1,11.3,3.9,115.0,0.337,0.077,0.275,0.365,1.5908736093090283
Riley Adams,C,76,263,26.5,89.9,7.2,-0.3,75.0,0.275,0.077,0.2689999999999999,0.2289999999999999,-1.0161912890917177
Joey Gallo,LF,76,250,26.5,90.5,13.1,-0.2,75.0,0.276,0.123,0.392,0.3929999999999999,-0.8337584385728625
Jurickson Profar,LF,71,184,26.5,91.1,7.2,4.3,139.0,0.365,0.114,0.151,0.321,1.692009169098906
TJ Friedl,CF,68,180,26.5,86.0,3.2,0.3,90.0,0.305,0.076,0.152,0.251,-0.7753512691956301
Danny Mendick,SS,70,195,26.5,83.8,6.1,-0.1,58.0,0.247,0.043,0.248,0.245,-0.9425732390509964
Rafael Devers,DH,72,235,26.5,93.2,13.0,4.2,136.0,0.364,0.111,0.245,0.409,1.1404840349795966
William Contreras,C,70,217,26.4,92.8,10.0,5.5,132.0,0.359,0.115,0.205,0.401,2.886621944658965
Junior Caminero,3B,73,220,26.4,89.7,11.8,0.7,105.0,0.309,0.062,0.215,0.291,-0.2918170525951474
Ke'Bryan Hayes,3B,71,215,26.4,88.9,2.4,0.1,60.0,0.256,0.0579999999999999,0.1889999999999999,0.238,-0.6448215517021803
Dominic Fletcher,RF,68,183,26.4,84.4,1.8,-0.8,43.0,0.227,0.046,0.241,0.226,-0.9811670478452746
Pavin Smith,1B,74,208,26.4,90.2,14.7,0.9,142.0,0.377,0.114,0.196,0.385,-0.008301488188734144
Nolan Schanuel,1B,74,220,26.4,86.1,3.5,0.7,105.0,0.315,0.1119999999999999,0.17,0.246,-0.14112529920848096
Tyler Nevin,3B,76,225,26.4,89.8,8.7,-0.4,82.0,0.276,0.09,0.23,0.245,-0.9389919676247077
Nathaniel Lowe,1B,76,220,26.4,88.9,5.8,2.9,123.0,0.337,0.126,0.221,0.296,1.3199366220087334
Andrew Vaughn,1B,70,215,26.3,90.3,9.3,-0.1,97.0,0.304,0.061,0.213,0.332,-0.672420543287468
Michael Conforto,LF,71,215,26.3,90.2,11.8,1.3,112.0,0.327,0.086,0.242,0.362,0.008164097317727107
Paul Goldschmidt,1B,74,225,26.3,91.2,10.7,1.2,100.0,0.31,0.072,0.265,0.4,0.19093422834088597
Ryan Jeffers,C,74,235,26.3,86.9,8.3,1.6,106.0,0.317,0.069,0.2019999999999999,0.317,0.2623164943783335
Jeff McNeil,2B,72,195,26.3,87.0,3.1,1.3,97.0,0.304,0.074,0.144,0.306,-0.1658304824409625
Alec Bohm,3B,76,218,26.3,90.4,6.8,3.4,113.0,0.335,0.066,0.142,0.365,1.296703193386501
Mark Vientos,3B,75,185,26.3,91.2,14.1,2.9,132.0,0.356,0.073,0.297,0.364,1.0025327774639734
Trevor Larnach,RF,75,223,26.3,92.0,10.1,1.4,119.0,0.336,0.1,0.223,0.384,0.026724394299287326
Mitch Haniger,RF,73,214,26.2,90.6,9.0,-0.5,85.0,0.277,0.095,0.298,0.349,-0.8437273057346525
David Fry,1B,73,215,26.2,88.3,7.5,1.7,129.0,0.347,0.107,0.214,0.31,0.5229937558902529
Nolan Gorman,2B,72,225,26.2,88.5,16.7,0.3,87.0,0.29,0.085,0.376,0.324,-0.8381162220664864
Christian Walker,1B,71,208,26.2,91.2,13.3,3.1,120.0,0.343,0.1,0.241,0.387,1.4527604330284802
Elehuris Montero,1B,75,235,26.2,89.5,7.6,-1.9,47.0,0.254,0.081,0.2269999999999999,0.327,-1.867834842465189
Enmanuel Valdez,1B,68,202,26.2,89.4,9.2,-0.6,73.0,0.275,0.076,0.238,0.307,-1.0044800708368349
DJ LeMahieu,2B,75,220,26.1,88.5,5.8,-0.5,53.0,0.239,0.083,0.154,0.295,-1.3759448137669057
Masataka Yoshida,LF,68,192,26.1,88.0,5.5,0.9,116.0,0.336,0.064,0.124,0.3229999999999999,-0.21634857891976347
Pete Alonso,1B,75,245,26.1,89.8,13.2,2.1,121.0,0.34,0.1009999999999999,0.247,0.349,0.7886413779297464
Jesse Winker,LF,74,206,26.1,88.6,7.6,1.4,118.0,0.338,0.124,0.209,0.31,0.06429226637709967
Yordan Alvarez,LF,76,237,26.1,93.1,14.5,5.2,167.0,0.402,0.109,0.15,0.41,2.19716269063326
Kyle Tucker,RF,75,212,26.0,91.1,12.9,4.2,179.0,0.419,0.165,0.159,0.347,1.3094953206650934
Anthony Santander,RF,73,230,26.0,89.8,11.7,3.2,128.0,0.345,0.087,0.1939999999999999,0.35,0.8513628469630199
Brandon Drury,3B,73,225,26.0,87.6,3.6,-2.1,35.0,0.217,0.075,0.225,0.267,-1.9391713817613012
Luis Urías,SS,69,202,26.0,87.1,11.7,0.2,108.0,0.309,0.083,0.312,0.267,-0.8254326341978379
Brendan Rodgers,2B,72,204,26.0,89.3,5.6,0.8,87.0,0.314,0.0579999999999999,0.245,0.29,-0.5019733522537244
Mitch Garver,C,73,220,26.0,89.9,8.4,-0.4,89.0,0.281,0.123,0.309,0.312,-1.0834811724322468
Carlos Santana,1B,70,210,25.9,89.2,7.3,2.9,113.0,0.326,0.109,0.1669999999999999,0.335,1.3199366220087334
Ryan McMahon,3B,74,211,25.9,92.1,10.9,1.9,88.0,0.315,0.107,0.287,0.389,0.41419194561891853
Kyle Farmer,2B,71,205,25.9,87.7,5.4,0.5,84.0,0.285,0.079,0.2019999999999999,0.304,-0.7036590741413816
Isaac Paredes,3B,71,213,25.9,85.0,4.5,3.3,116.0,0.327,0.119,0.1639999999999999,0.244,1.2378691102019954
