name,position,height_in,weight,sprint_speed,avg_hit_speed,brl_percent,WAR,wRC+,wOBA,BB%,K%,Hard%,WAR_z
Jose Herrera,C,69,217,25.0,84.5,0.0,0.2,71.0,0.271,0.079,0.237,0.218,-0.6797418723890728
Keibert Ruiz,C,71,238,25.0,85.4,3.2,-0.3,70.0,0.268,0.033,0.111,0.249,-1.0161912890917177
Matt Thaiss,C,71,215,24.9,86.6,8.0,-0.1,84.0,0.286,0.151,0.312,0.23,-0.8816115224106599
Gary Sánchez,C,74,251,24.8,90.0,10.5,0.4,97.0,0.307,0.096,0.271,0.331,-0.5451621057080147
Christian Vázquez,C,68,205,24.8,88.5,3.8,0.7,59.0,0.25,0.035,0.206,0.294,-0.3432924556864277
Tomás Nido,C,72,211,24.7,89.8,12.0,0.1,48.0,0.231,0.036,0.25,0.33,-0.7470317557296017
Alejandro Kirk,C,68,245,24.7,89.4,6.7,2.8,93.0,0.297,0.091,0.132,0.342,1.0697950944646815
Luis Guillorme,3B,70,190,24.7,85.5,2.3,0.1,67.0,0.263,0.123,0.193,0.188,-0.6448215517021803
Matt Carpenter,DH,76,224,24.6,85.8,6.8,-0.2,95.0,0.303,0.096,0.325,0.284,-0.7531498344204882
Giancarlo Stanton,DH,77,245,24.6,94.6,20.7,0.8,117.0,0.33,0.083,0.312,0.442,-0.3227785004659235
Salvador Perez,C,74,255,24.5,91.1,12.2,3.3,117.0,0.335,0.067,0.198,0.362,1.4062445111673267
Anthony Rizzo,1B,75,240,24.5,86.7,4.0,-0.2,85.0,0.285,0.072,0.173,0.241,-0.7388324487973414
Jose Trevino,C,69,215,24.5,88.1,5.3,1.7,85.0,0.284,0.085,0.175,0.2339999999999999,0.3296063777188624
Curt Casali,C,74,220,24.4,83.0,1.1,-0.4,62.0,0.254,0.104,0.176,0.182,-1.0834811724322468
Elias Díaz,C,73,223,24.4,87.1,4.7,0.5,81.0,0.303,0.057,0.1969999999999999,0.275,-0.4778722223674857
Victor Caratini,C,72,225,24.4,91.2,5.6,1.9,113.0,0.324,0.084,0.193,0.292,0.4641861443999204
Willie Calhoun,1B,68,205,24.3,89.0,3.0,0.0,97.0,0.305,0.091,0.122,0.296,-0.6060086377775946
Rowdy Tellez,1B,76,270,24.2,89.4,8.0,-0.4,90.0,0.301,0.074,0.211,0.301,-0.8716562598170882
Triston Casas,1B,76,244,24.1,90.2,13.3,0.6,120.0,0.342,0.123,0.317,0.341,-0.20753720471835432
Wilmer Flores,1B,75,225,24.0,83.5,5.9,-0.7,68.0,0.262,0.083,0.136,0.247,-1.0708919763467082
Jacob Stallings,C,77,225,23.9,86.6,7.2,0.9,113.0,0.353,0.096,0.231,0.3329999999999999,-0.20871268900536966
Yasmani Grandal,C,74,225,23.2,91.1,9.8,1.4,95.0,0.308,0.099,0.1889999999999999,0.358,0.12773672769727534
Martín Maldonado,C,72,230,23.1,88.0,8.0,-1.5,11.0,0.181,0.054,0.347,0.322,-1.8236698891780658
