team,season,team_avg_height,team_avg_weight,pass_epa,dropbacks,rush_epa,rush_attempts,total_off_plays,off_epa_per_play,pass_epa_allowed,dropbacks_faced,rush_epa_allowed,rush_attempts_faced,total_def_plays,def_epa_per_play,team_qb_epa,off_epa_prior,def_epa_prior,first_season_flag,net_epa_per_play
ARI,1999,74.671875,254.859375,-117.13406639741875,604.0,-72.28474706205347,396.0,1000.0,-0.18941881345947223,-7.94812187943513,532.0,-5.724189466970678,542.0,1074.0,-0.012730271272258667,,,,1,-0.17668854218721355
ARI,2000,74.32394366197182,251.19718309859155,-69.70588758548556,597.0,-70.75991958176138,346.0,943.0,-0.14895631725052697,85.91975549825959,487.0,32.539718785924244,579.0,1066.0,0.11112521039792105,,-0.18941881345947223,-0.012730271272258667,0,-0.260081527648448
ARI,2001,74.15384615384616,247.04615384615386,31.898783779852586,571.0,-63.029842629813245,401.0,972.0,-0.03202783832300479,49.7829697966693,591.0,-22.64717383000458,497.0,1088.0,0.024940988939949192,,-0.14895631725052697,0.11112521039792105,0,-0.056968827262953985
ARI,2016,74.24509803921569,243.16666666666666,9.804531370374564,692.0,-33.14029407170747,399.0,1091.0,-0.021389333365108076,-33.94756576906531,621.0,-63.71930182519543,424.0,1045.0,-0.09346111731508204,0.010240408379045288,0.10169307832825682,-0.0956145408070942,0,0.07207178394997396
ARI,2017,74.17307692307692,239.84615384615384,-92.92669003784626,667.0,-81.77302357564938,409.0,1076.0,-0.16236032863707775,-41.91920737084084,623.0,-63.9377176346011,409.0,1032.0,-0.10257453973395536,-0.14373694744114648,-0.021389333365108076,-0.09346111731508204,0,-0.05978578890312239
ARI,2018,74.13333333333334,245.15,-167.20203180647695,563.0,-55.615197797077506,356.0,919.0,-0.24245618019973283,11.714617726199602,577.0,14.688530818528369,513.0,1090.0,0.024223072059383458,-0.32434133621295325,-0.16236032863707775,-0.10257453973395536,0,-0.2666792522591163
ARI,2019,73.95049504950495,245.73267326732673,-1.6627087091659734,633.0,3.921236694855798,396.0,1029.0,0.002194876565296234,147.44577540225862,667.0,-42.9835370152999,439.0,1106.0,0.09445048678748527,-0.015928079233116073,-0.24245618019973283,0.024223072059383458,0,-0.09225561022218903
ARI,2020,73.84375,243.09375,39.33095849220541,648.0,28.93374210420849,480.0,1128.0,0.060518351592565515,35.65053135300184,651.0,-10.61330436368271,439.0,1090.0,0.022969933017723973,0.028344807209251855,0.002194876565296234,0.09445048678748527,0,0.03754841857484154
ARI,2021,73.98936170212765,243.2659574468085,88.37774751423684,666.0,-8.976329610566411,496.0,1162.0,0.06833168494291776,-10.913394398847371,627.0,-37.54769776184501,426.0,1053.0,-0.04602192987720074,0.11765414449145217,0.060518351592565515,0.022969933017723973,0,0.1143536148201185
ARI,2022,74.05714285714286,241.33333333333334,-76.91360721201141,753.0,-10.385701513462916,436.0,1189.0,-0.07342246318374629,33.85220805899645,654.0,-17.88862243676886,446.0,1100.0,0.014512350565661448,-0.07528263305211118,0.06833168494291776,-0.04602192987720074,0,-0.08793481374940773
ARI,2023,73.8252427184466,243.46601941747574,-74.46005360864991,635.0,18.66245397482521,477.0,1112.0,-0.050177697512432284,99.35659765514755,571.0,2.7111916812094776,521.0,1092.0,0.0934686715534405,-0.10387499049411981,-0.07342246318374629,0.014512350565661448,0,-0.1436463690658728
