passer_player_id,season,passing_epa,qb_epa,dropbacks,epa_per_dropback,qb_epa_per_dropback,epa_per_dropback_prior,rookie_flag,qb_epa_per_dropback_prior,years_experience,draft_round,draft_pick,weight_lbs,height_in,arm_length_in,wing_span_in,hand_size_in,yard_40_dash_sec,yard_60_shuttle_sec,yard_10_split_sec,yard_20_split_sec,cone_drill_sec,yard_20_shuttle_sec,vert_jump_in,broad_jump_in,bench_press_reps,gsis_id,position_group,missing_weight_lbs,missing_height_in,missing_arm_length_in,missing_wing_span_in,missing_hand_size_in,missing_yard_40_dash_sec,missing_yard_60_shuttle_sec,missing_yard_10_split_sec,missing_yard_20_split_sec,missing_cone_drill_sec,missing_yard_20_shuttle_sec,missing_vert_jump_in,missing_broad_jump_in,missing_bench_press_reps
00-0003739,2004,178.0124868160436,181.5064814786982,593.0,0.3001896910894496,0.3060817562878553,0.1143901559822782,0,0.12723574611262706,5,1.0,11.0,260.0,76.0,,,,4.52,,,,,4.13,39.0,122.0,,00-0003739,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0003739,2005,-33.53727321986305,-29.552288763359755,248.0,-0.1352309404026736,-0.11916245469096676,0.3001896910894496,0,0.3060817562878553,6,1.0,11.0,260.0,76.0,,,,4.52,,,,,4.13,39.0,122.0,,00-0003739,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0003739,2006,-19.296228947978122,-19.296228947978122,154.0,-0.1253001879738839,-0.1253001879738839,-0.1352309404026736,0,-0.11916245469096676,7,1.0,11.0,260.0,76.0,,,,4.52,,,,,4.13,39.0,122.0,,00-0003739,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0003739,2007,-7.162116168215051,0.4397771782506065,206.0,-0.03476755421463617,0.0021348406711194493,-0.1253001879738839,0,-0.1253001879738839,8,1.0,11.0,260.0,76.0,,,,4.52,,,,,4.13,39.0,122.0,,00-0003739,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0003739,2008,-55.22626116074703,-42.37320809951366,127.0,-0.43485245008462226,-0.3336473078701863,-0.03476755421463617,0,0.0021348406711194493,9,1.0,11.0,260.0,76.0,,,,4.52,,,,,4.13,39.0,122.0,,00-0003739,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0003739,2009,-26.75308775056808,-24.02921167250795,171.0,-0.15645080555887766,-0.140521705687181,-0.43485245008462226,0,-0.3336473078701863,10,1.0,11.0,260.0,76.0,,,,4.52,,,,,4.13,39.0,122.0,,00-0003739,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0007834,2000,-19.146713042082112,-19.146713042082112,99.0,-0.19340114183921325,-0.19340114183921325,0.0,1,0.0,1,3.0,77.0,232.0,76.0,,,,5.12,,,,,4.44,30.5,107.0,,00-0007834,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0009266,1999,-14.60871918814878,-14.60871918814878,157.0,-0.09304916680349543,-0.09304916680349543,0.0,1,0.0,1,2.0,50.0,228.0,73.0,,,,4.77,,,,,4.29,33.0,113.0,,00-0009266,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0009266,2000,-9.390133971849886,-1.544687934954148,458.0,-0.020502475921069623,-0.0033726810806859126,-0.09304916680349543,0,-0.09304916680349543,2,2.0,50.0,228.0,73.0,,,,4.77,,,,,4.29,33.0,113.0,,00-0009266,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0009266,2001,-1.946039944836157,-1.946039944836157,34.0,-0.057236468965769324,-0.057236468965769324,-0.020502475921069623,0,-0.0033726810806859126,3,2.0,50.0,228.0,73.0,,,,4.77,,,,,4.29,33.0,113.0,,00-0009266,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
