rusher_player_id,season,rushing_epa,rush_attempts,epa_per_rush,epa_per_rush_prior,rookie_flag,years_experience,draft_round,draft_pick,weight_lbs,height_in,arm_length_in,wing_span_in,hand_size_in,yard_40_dash_sec,yard_60_shuttle_sec,yard_10_split_sec,yard_20_split_sec,cone_drill_sec,yard_20_shuttle_sec,vert_jump_in,broad_jump_in,bench_press_reps,gsis_id,position_group,missing_weight_lbs,missing_height_in,missing_arm_length_in,missing_wing_span_in,missing_hand_size_in,missing_yard_40_dash_sec,missing_yard_60_shuttle_sec,missing_yard_10_split_sec,missing_yard_20_split_sec,missing_cone_drill_sec,missing_yard_20_shuttle_sec,missing_vert_jump_in,missing_broad_jump_in,missing_bench_press_reps
00-0031062,2018,-4.8545658303600785,94.0,-0.05164431734425615,-0.16371794222354827,0,5,4.0,130.0,205.0,70.0,29.25,,8.25,4.57,11.76,1.57,,7.05,4.2,32.0,114.0,23.0,00-0031062,rb,0,0,0,1,0,0,0,0,1,0,0,0,0,0
00-0031062,2019,-15.677827318656067,69.0,-0.2272148886761749,-0.05164431734425615,0,6,4.0,130.0,205.0,70.0,29.25,,8.25,4.57,11.76,1.57,,7.05,4.2,32.0,114.0,23.0,00-0031062,rb,0,0,0,1,0,0,0,0,1,0,0,0,0,0
00-0031062,2020,-6.708244395325892,35.0,-0.19166412558073975,-0.2272148886761749,0,7,4.0,130.0,205.0,70.0,29.25,,8.25,4.57,11.76,1.57,,7.05,4.2,32.0,114.0,23.0,00-0031062,rb,0,0,0,1,0,0,0,0,1,0,0,0,0,0
00-0031066,2014,-8.37828518104807,69.0,-0.12142442291374016,0.0,1,1,4.0,138.0,225.0,72.0,32.0,,8.375,4.58,,1.63,,6.88,4.22,33.0,118.0,18.0,00-0031066,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,0
00-0031075,2014,-24.459763859020313,169.0,-0.14473233052674742,0.0,1,1,6.0,181.0,225.0,74.0,32.375,,9.875,4.63,,1.56,,7.15,4.5,32.0,121.0,13.0,00-0031075,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,0
00-0031075,2015,-29.568601051386135,183.0,-0.1615770549256073,-0.14473233052674742,0,2,6.0,181.0,225.0,74.0,32.375,,9.875,4.63,,1.56,,7.15,4.5,32.0,121.0,13.0,00-0031075,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,0
00-0031075,2016,-9.725475721593792,100.0,-0.09725475721593792,-0.1615770549256073,0,3,6.0,181.0,225.0,74.0,32.375,,9.875,4.63,,1.56,,7.15,4.5,32.0,121.0,13.0,00-0031075,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,0
00-0031075,2017,-7.964053794463039,71.0,-0.11216977175300055,-0.09725475721593792,0,4,6.0,181.0,225.0,74.0,32.375,,9.875,4.63,,1.56,,7.15,4.5,32.0,121.0,13.0,00-0031075,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,0
00-0031075,2018,-32.49448738550424,150.0,-0.21662991590336161,-0.11216977175300055,0,5,6.0,181.0,225.0,74.0,32.375,,9.875,4.63,,1.56,,7.15,4.5,32.0,121.0,13.0,00-0031075,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,0
00-0031243,2014,-5.591040679573779,29.0,-0.1927945061921993,0.0,1,1,7.0,222.0,216.0,72.0,32.0,,9.5,4.6,,1.63,,,,35.5,118.0,16.0,00-0031243,rb,0,0,0,1,0,0,1,0,1,1,1,0,0,0
00-0031285,2014,-25.722556281358518,65.0,-0.39573163509782333,0.0,1,1,4.0,103.0,206.0,68.0,29.375,,9.625,4.58,,1.59,,7.11,4.26,31.5,118.0,,00-0031285,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,1
00-0031285,2015,-11.550198947728582,265.0,-0.04358565640652295,-0.39573163509782333,0,2,4.0,103.0,206.0,68.0,29.375,,9.625,4.58,,1.59,,7.11,4.26,31.5,118.0,,00-0031285,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,1
00-0031285,2016,4.889815129386044,227.0,0.02154103581227332,-0.04358565640652295,0,3,4.0,103.0,206.0,68.0,29.375,,9.625,4.58,,1.59,,7.11,4.26,31.5,118.0,,00-0031285,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,1
00-0031285,2017,-11.797813008622388,196.0,-0.06019292351337953,0.02154103581227332,0,4,4.0,103.0,206.0,68.0,29.375,,9.625,4.58,,1.59,,7.11,4.26,31.5,118.0,,00-0031285,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,1
00-0031285,2019,-41.30007642073906,184.0,-0.22445693706923403,-0.2979318758422908,0,6,4.0,103.0,206.0,68.0,29.375,,9.625,4.58,,1.59,,7.11,4.26,31.5,118.0,,00-0031285,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,1
00-0031285,2020,-9.08425383042777,54.0,-0.16822692278569942,-0.22445693706923403,0,7,4.0,103.0,206.0,68.0,29.375,,9.625,4.58,,1.59,,7.11,4.26,31.5,118.0,,00-0031285,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,1
00-0031285,2021,-2.961412381363719,133.0,-0.02226625850649413,-0.16822692278569942,0,8,4.0,103.0,206.0,68.0,29.375,,9.625,4.58,,1.59,,7.11,4.26,31.5,118.0,,00-0031285,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,1
00-0031301,2014,3.7718068318746436,222.0,0.016990120864300195,0.0,1,1,2.0,55.0,230.0,73.0,32.625,,10.375,4.66,,1.56,,,,29.0,113.0,20.0,00-0031301,rb,0,0,0,1,0,0,1,0,1,1,1,0,0,0
00-0031301,2015,-25.669563579975758,224.0,-0.11459626598203464,0.016990120864300195,0,2,2.0,55.0,230.0,73.0,32.625,,10.375,4.66,,1.56,,,,29.0,113.0,20.0,00-0031301,rb,0,0,0,1,0,0,1,0,1,1,1,0,0,0
00-0031301,2016,-7.6323440804891804,222.0,-0.0343799282904918,-0.11459626598203464,0,3,2.0,55.0,230.0,73.0,32.625,,10.375,4.66,,1.56,,,,29.0,113.0,20.0,00-0031301,rb,0,0,0,1,0,0,1,0,1,1,1,0,0,0
00-0031301,2017,-4.517126480815932,37.0,-0.12208449948151168,-0.0343799282904918,0,4,2.0,55.0,230.0,73.0,32.625,,10.375,4.66,,1.56,,,,29.0,113.0,20.0,00-0031301,rb,0,0,0,1,0,0,1,0,1,1,1,0,0,0
00-0031375,2014,-13.481907155306542,171.0,-0.07884156231173417,0.0,1,1,3.0,94.0,225.0,70.0,31.0,,9.125,4.54,,1.59,,,,33.5,120.0,16.0,00-0031375,rb,0,0,0,1,0,0,1,0,1,1,1,0,0,0
00-0031375,2015,-17.931559230407096,62.0,-0.28921869726463056,-0.07884156231173417,0,2,3.0,94.0,225.0,70.0,31.0,,9.125,4.54,,1.59,,,,33.5,120.0,16.0,00-0031375,rb,0,0,0,1,0,0,1,0,1,1,1,0,0,0
00-0031375,2016,-22.69855926922857,193.0,-0.117609115384604,-0.28921869726463056,0,3,3.0,94.0,225.0,70.0,31.0,,9.125,4.54,,1.59,,,,33.5,120.0,16.0,00-0031375,rb,0,0,0,1,0,0,1,0,1,1,1,0,0,0
00-0031375,2017,-9.009148415745468,40.0,-0.2252287103936367,-0.117609115384604,0,4,3.0,94.0,225.0,70.0,31.0,,9.125,4.54,,1.59,,,,33.5,120.0,16.0,00-0031375,rb,0,0,0,1,0,0,1,0,1,1,1,0,0,0
00-0031376,2014,-4.772233901971619,113.0,-0.0422321584245276,0.0,1,1,3.0,96.0,209.0,69.0,30.25,,8.625,4.41,,1.46,,6.83,4.12,40.5,132.0,32.0,00-0031376,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,0
00-0031376,2015,6.796351269818842,52.0,0.1306990628811316,-0.0422321584245276,0,2,3.0,96.0,209.0,69.0,30.25,,8.625,4.41,,1.46,,6.83,4.12,40.5,132.0,32.0,00-0031376,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,0
00-0031376,2016,-32.05374708296968,161.0,-0.19909159678863153,0.1306990628811316,0,3,3.0,96.0,209.0,69.0,30.25,,8.625,4.41,,1.46,,6.83,4.12,40.5,132.0,32.0,00-0031376,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,0
00-0031376,2017,-36.25225584724016,151.0,-0.24008116455125933,-0.19909159678863153,0,4,3.0,96.0,209.0,69.0,30.25,,8.625,4.41,,1.46,,6.83,4.12,40.5,132.0,32.0,00-0031376,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,0
00-0031376,2020,-10.439695873967139,81.0,-0.12888513424650788,-0.24008116455125933,0,5,3.0,96.0,209.0,69.0,30.25,,8.625,4.41,,1.46,,6.83,4.12,40.5,132.0,32.0,00-0031376,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,0
00-0031376,2022,-9.963558545656268,72.0,-0.13838275757855928,-0.16109941622319943,0,7,3.0,96.0,209.0,69.0,30.25,,8.625,4.41,,1.46,,6.83,4.12,40.5,132.0,32.0,00-0031376,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,0
00-0031376,2023,-0.017922752728736974,21.0,-0.0008534644156541416,-0.13838275757855928,0,8,3.0,96.0,209.0,69.0,30.25,,8.625,4.41,,1.46,,6.83,4.12,40.5,132.0,32.0,00-0031376,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,0
00-0031390,2014,-15.64283217387856,66.0,-0.2370126086951297,0.0,1,1,3.0,69.0,211.0,72.0,31.0,,8.25,4.48,,1.56,,7.16,4.3,37.5,126.0,17.0,00-0031390,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,0
00-0031390,2015,-8.98688750678827,107.0,-0.08398960286718009,-0.2370126086951297,0,2,3.0,69.0,211.0,72.0,31.0,,8.25,4.48,,1.56,,7.16,4.3,37.5,126.0,17.0,00-0031390,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,0
00-0031390,2016,-13.440566004137509,51.0,-0.2635405098850492,-0.08398960286718009,0,3,3.0,69.0,211.0,72.0,31.0,,8.25,4.48,,1.56,,7.16,4.3,37.5,126.0,17.0,00-0031390,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,0
00-0031390,2017,-0.9166611874969677,22.0,-0.041666417613498534,-0.2635405098850492,0,4,3.0,69.0,211.0,72.0,31.0,,8.25,4.48,,1.56,,7.16,4.3,37.5,126.0,17.0,00-0031390,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,0
00-0031391,2014,-25.70719867468844,179.0,-0.14361563505412536,0.0,1,1,3.0,75.0,207.0,68.0,30.0,,9.0,4.5,,1.5,,,4.15,38.5,126.0,,00-0031391,rb,0,0,0,1,0,0,1,0,1,1,0,0,0,1
00-0031391,2015,-32.7252467453223,75.0,-0.436336623270964,-0.14361563505412536,0,2,3.0,75.0,207.0,68.0,30.0,,9.0,4.5,,1.5,,,4.15,38.5,126.0,,00-0031391,rb,0,0,0,1,0,0,1,0,1,1,0,0,0,1
00-0031413,2014,-26.166882498021273,152.0,-0.17215054275013997,0.0,1,1,2.0,54.0,213.0,70.0,31.0,,10.0,4.49,,1.59,,6.75,4.0,35.5,126.0,26.0,00-0031413,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,0
00-0031413,2015,-4.896772625450809,47.0,-0.10418665160533636,-0.17215054275013997,0,2,2.0,54.0,213.0,70.0,31.0,,10.0,4.49,,1.59,,6.75,4.0,35.5,126.0,26.0,00-0031413,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,0
00-0031569,2015,-6.492875138210132,150.0,-0.043285834254734215,0.0,1,1,4.0,106.0,211.0,72.0,31.5,,8.75,4.42,,1.56,,7.22,4.32,34.5,118.0,,00-0031569,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,1
00-0031569,2016,-18.22695649653906,62.0,-0.2939831692990171,-0.043285834254734215,0,2,4.0,106.0,211.0,72.0,31.5,,8.75,4.42,,1.56,,7.22,4.32,34.5,118.0,,00-0031569,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,1
00-0031577,2015,-28.276297050328463,137.0,-0.20639632883451434,0.0,1,1,4.0,125.0,218.0,72.0,31.75,,9.375,4.53,,1.58,,6.96,4.28,35.5,121.0,11.0,00-0031577,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,0
00-0031577,2017,-11.23605894103107,153.0,-0.07343829373222921,-0.06370429863454774,0,3,4.0,125.0,218.0,72.0,31.75,,9.375,4.53,,1.58,,6.96,4.28,35.5,121.0,11.0,00-0031577,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,0
00-0031577,2018,-5.846186253224624,41.0,-0.14258990861523474,-0.07343829373222921,0,4,4.0,125.0,218.0,72.0,31.75,,9.375,4.53,,1.58,,6.96,4.28,35.5,121.0,11.0,00-0031577,rb,0,0,0,1,0,0,1,0,1,0,0,0,0,0
00-0031590,2015,-2.887964807639829,50.0,-0.05775929615279658,0.0,1,1,5.0,149.0,223.0,72.0,32.0,,10.0,4.57,11.1,1.6,,7.1,4.1,39.0,121.0,19.0,00-0031590,rb,0,0,0,1,0,0,0,0,1,0,0,0,0,0
00-0031590,2016,7.269347673009699,260.0,0.027959029511575768,-0.05775929615279658,0,2,5.0,149.0,223.0,72.0,32.0,,10.0,4.57,11.1,1.6,,7.1,4.1,39.0,121.0,19.0,00-0031590,rb,0,0,0,1,0,0,0,0,1,0,0,0,0,0
00-0031590,2017,-23.576264363464464,208.0,-0.11334742482434838,0.027959029511575768,0,3,5.0,149.0,223.0,72.0,32.0,,10.0,4.57,11.1,1.6,,7.1,4.1,39.0,121.0,19.0,00-0031590,rb,0,0,0,1,0,0,0,0,1,0,0,0,0,0
00-0031590,2018,-4.8637806967820065,46.0,-0.10573436297352189,-0.11334742482434838,0,4,5.0,149.0,223.0,72.0,32.0,,10.0,4.57,11.1,1.6,,7.1,4.1,39.0,121.0,19.0,00-0031590,rb,0,0,0,1,0,0,0,0,1,0,0,0,0,0
00-0031599,2015,-5.06847923900932,45.0,-0.11263287197798488,0.0,1,1,5.0,174.0,215.0,70.0,29.625,,8.875,4.53,,1.62,,7.13,,36.5,118.0,,00-0031599,rb,0,0,0,1,0,0,1,0,1,0,1,0,0,1
00-0031599,2016,-2.5722687819506973,36.0,-0.0714519106097416,-0.11263287197798488,0,2,5.0,174.0,215.0,70.0,29.625,,8.875,4.53,,1.62,,7.13,,36.5,118.0,,00-0031599,rb,0,0,0,1,0,0,1,0,1,0,1,0,0,1
00-0031939,2015,-35.89595989229358,144.0,-0.24927749925203876,0.0,1,1,3.0,95.0,239.0,74.0,32.0,,8.625,4.61,,1.64,,,4.2,31.5,112.0,20.0,00-0031939,rb,0,0,0,1,0,0,1,0,1,1,0,0,0,0
00-0031939,2016,-7.773231292105416,99.0,-0.0785174877990446,-0.24927749925203876,0,2,3.0,95.0,239.0,74.0,32.0,,8.625,4.61,,1.64,,,4.2,31.5,112.0,20.0,00-0031939,rb,0,0,0,1,0,0,1,0,1,1,0,0,0,0
00-0031959,2018,-4.422107881080592,52.0,-0.08504053617462677,-0.15369051519635618,0,3,7.0,230.0,195.0,69.0,31.0,,8.625,4.61,,1.69,,,4.4,29.0,109.0,11.0,00-0031959,rb,0,0,0,1,0,0,1,0,1,1,0,0,0,0
00-0032058,2015,-17.560287341068033,87.0,-0.20184238323066706,0.0,1,1,3.0,73.0,210.0,73.0,32.0,,8.625,4.39,,,,,,,,22.0,00-0032058,rb,0,0,0,1,0,0,1,1,1,1,1,1,1,0
00-0032058,2016,1.4096896150060574,118.0,0.011946522161068283,-0.20184238323066706,0,2,3.0,73.0,210.0,73.0,32.0,,8.625,4.39,,,,,,,,22.0,00-0032058,rb,0,0,0,1,0,0,1,1,1,1,1,1,1,0
00-0032058,2017,-18.640966366994288,156.0,-0.11949337414739929,0.011946522161068283,0,3,3.0,73.0,210.0,73.0,32.0,,8.625,4.39,,,,,,,,22.0,00-0032058,rb,0,0,0,1,0,0,1,1,1,1,1,1,1,0
00-0032058,2018,-11.832123891915312,167.0,-0.07085104126895396,-0.11949337414739929,0,4,3.0,73.0,210.0,73.0,32.0,,8.625,4.39,,,,,,,,22.0,00-0032058,rb,0,0,0,1,0,0,1,1,1,1,1,1,1,0
00-0032058,2019,-15.34687368118869,137.0,-0.11202097577509992,-0.07085104126895396,0,5,3.0,73.0,210.0,73.0,32.0,,8.625,4.39,,,,,,,,22.0,00-0032058,rb,0,0,0,1,0,0,1,1,1,1,1,1,1,0
00-0032058,2020,-8.44488981727045,28.0,-0.30160320775965893,-0.11202097577509992,0,6,3.0,73.0,210.0,73.0,32.0,,8.625,4.39,,,,,,,,22.0,00-0032058,rb,0,0,0,1,0,0,1,1,1,1,1,1,1,0
00-0032058,2021,-5.879638561309548,84.0,-0.069995697158447,-0.30160320775965893,0,7,3.0,73.0,210.0,73.0,32.0,,8.625,4.39,,,,,,,,22.0,00-0032058,rb,0,0,0,1,0,0,1,1,1,1,1,1,1,0
