receiver_player_id,season,receiving_epa,targets,epa_per_target,epa_per_target_prior,rookie_flag,years_experience,draft_round,draft_pick,weight_lbs,height_in,arm_length_in,wing_span_in,hand_size_in,yard_40_dash_sec,yard_60_shuttle_sec,yard_10_split_sec,yard_20_split_sec,cone_drill_sec,yard_20_shuttle_sec,vert_jump_in,broad_jump_in,bench_press_reps,gsis_id,position_group,missing_weight_lbs,missing_height_in,missing_arm_length_in,missing_wing_span_in,missing_hand_size_in,missing_yard_40_dash_sec,missing_yard_60_shuttle_sec,missing_yard_10_split_sec,missing_yard_20_split_sec,missing_cone_drill_sec,missing_yard_20_shuttle_sec,missing_vert_jump_in,missing_broad_jump_in,missing_bench_press_reps
00-0020337,2013,24.91491437830426,110,0.22649922162094782,0.1848433218882165,0,13,3.0,74.0,195.0,69.0,,,,4.41,,,,,4.25,38.5,121.0,,00-0020337,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020337,2014,39.161842215806765,134,0.2922525538493042,0.22649922162094782,0,14,3.0,74.0,195.0,69.0,,,,4.41,,,,,4.25,38.5,121.0,,00-0020337,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020337,2015,22.417598847496503,73,0.30709039517118497,0.2922525538493042,0,15,3.0,74.0,195.0,69.0,,,,4.41,,,,,4.25,38.5,121.0,,00-0020337,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020337,2016,37.94716458611039,104,0.36487658255875377,0.30709039517118497,0,16,3.0,74.0,195.0,69.0,,,,4.41,,,,,4.25,38.5,121.0,,00-0020337,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020342,2003,17.451520394766703,29,0.6017765653367829,0.05644113937159999,0,3,4.0,129.0,295.0,74.0,,,,4.99,,,,,4.26,30.0,106.0,,00-0020342,te,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020370,2001,6.346318430300432,34,0.18665642442060093,0.0,1,1,5.0,148.0,191.0,74.0,,,,4.57,,,,,,34.5,115.0,,00-0020370,wr,0,0,1,1,1,0,1,1,1,1,1,0,0,1
00-0020370,2002,2.5161490532750497,56,0.04493123309419732,0.18665642442060093,0,2,5.0,148.0,191.0,74.0,,,,4.57,,,,,,34.5,115.0,,00-0020370,wr,0,0,1,1,1,0,1,1,1,1,1,0,0,1
00-0020381,2002,-10.857779175742504,48,-0.22620373282796882,3.251641165620337,0,2,4.0,124.0,215.0,74.0,,,,4.51,,,,,3.99,41.0,129.0,,00-0020381,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020381,2003,83.16627007670468,47,1.7694951080149932,-0.22620373282796882,0,3,4.0,124.0,215.0,74.0,,,,4.51,,,,,3.99,41.0,129.0,,00-0020381,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020381,2004,59.24122060607879,56,1.057878939394264,1.7694951080149932,0,4,4.0,124.0,215.0,74.0,,,,4.51,,,,,3.99,41.0,129.0,,00-0020381,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020381,2005,55.72987252572784,43,1.2960435471099498,1.057878939394264,0,5,4.0,124.0,215.0,74.0,,,,4.51,,,,,3.99,41.0,129.0,,00-0020381,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020381,2006,24.104171680010097,23,1.048007464348265,1.2960435471099498,0,6,4.0,124.0,215.0,74.0,,,,4.51,,,,,3.99,41.0,129.0,,00-0020381,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020381,2008,25.9889320730872,32,0.812154127283975,0.8804508420258859,0,8,4.0,124.0,215.0,74.0,,,,4.51,,,,,3.99,41.0,129.0,,00-0020381,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020397,2001,-5.309138560881685,60,-0.08848564268136141,0.0,1,1,2.0,36.0,192.0,73.0,,,,4.57,,,,,4.14,33.0,108.0,,00-0020397,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020397,2002,39.05061368746045,137,0.28504097582087917,-0.08848564268136141,0,2,2.0,36.0,192.0,73.0,,,,4.57,,,,,4.14,33.0,108.0,,00-0020397,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020397,2003,135.90824033043464,90,1.5100915592270516,0.28504097582087917,0,3,2.0,36.0,192.0,73.0,,,,4.57,,,,,4.14,33.0,108.0,,00-0020397,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020397,2004,111.16629824755115,95,1.1701715605005385,1.5100915592270516,0,4,2.0,36.0,192.0,73.0,,,,4.57,,,,,4.14,33.0,108.0,,00-0020397,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020397,2005,123.38631489203544,97,1.2720238648663447,1.1701715605005385,0,5,2.0,36.0,192.0,73.0,,,,4.57,,,,,4.14,33.0,108.0,,00-0020397,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020397,2006,104.69337563944282,87,1.2033721337866992,1.2720238648663447,0,6,2.0,36.0,192.0,73.0,,,,4.57,,,,,4.14,33.0,108.0,,00-0020397,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020397,2007,126.40762620628811,93,1.3592217871643884,1.2033721337866992,0,7,2.0,36.0,192.0,73.0,,,,4.57,,,,,4.14,33.0,108.0,,00-0020397,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020397,2008,49.99439451514627,53,0.9432904625499295,1.3592217871643884,0,8,2.0,36.0,192.0,73.0,,,,4.57,,,,,4.14,33.0,108.0,,00-0020397,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020397,2009,32.417966117621646,128,0.2532653602939191,0.9432904625499295,0,9,2.0,36.0,192.0,73.0,,,,4.57,,,,,4.14,33.0,108.0,,00-0020397,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020397,2010,27.928935589048482,128,0.21819480928944127,0.2532653602939191,0,10,2.0,36.0,192.0,73.0,,,,4.57,,,,,4.14,33.0,108.0,,00-0020397,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
