defender_id,season,total_def_epa,plays,def_epa_per_play,def_epa_per_play_prior,rookie_flag,years_experience,draft_round,draft_pick,weight_lbs,height_in,arm_length_in,wing_span_in,hand_size_in,yard_40_dash_sec,yard_60_shuttle_sec,yard_10_split_sec,yard_20_split_sec,cone_drill_sec,yard_20_shuttle_sec,vert_jump_in,broad_jump_in,bench_press_reps,gsis_id,position_group,missing_weight_lbs,missing_height_in,missing_arm_length_in,missing_wing_span_in,missing_hand_size_in,missing_yard_40_dash_sec,missing_yard_60_shuttle_sec,missing_yard_10_split_sec,missing_yard_20_split_sec,missing_cone_drill_sec,missing_yard_20_shuttle_sec,missing_vert_jump_in,missing_broad_jump_in,missing_bench_press_reps
00-0019696,2007,6.376824494742323,22,0.28985565885192377,0.6821548223539196,0,8,1.0,25.0,296.0,74.0,,,,4.99,,,,,4.16,30.0,101.0,35.0,00-0019696,dl,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0019696,2008,12.227398289076518,28,0.4366927960384471,0.28985565885192377,0,9,1.0,25.0,296.0,74.0,,,,4.99,,,,,4.16,30.0,101.0,35.0,00-0019696,dl,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0019706,2004,21.801574078941485,24,0.9083989199558952,0.6783359333096693,0,5,2.0,55.0,322.0,76.0,,,,5.09,,,,,4.72,29.5,94.0,25.0,00-0019706,dl,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0019706,2006,20.216953350026294,24,0.8423730562510956,0.5235810516070232,0,7,2.0,55.0,322.0,76.0,,,,5.09,,,,,4.72,29.5,94.0,25.0,00-0019706,dl,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0019706,2007,15.648210682953255,21,0.7451528896644407,0.8423730562510956,0,8,2.0,55.0,322.0,76.0,,,,5.09,,,,,4.72,29.5,94.0,25.0,00-0019706,dl,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0019706,2010,24.16779971286679,30,0.8055933237622263,0.5801630060505356,0,11,2.0,55.0,322.0,76.0,,,,5.09,,,,,4.72,29.5,94.0,25.0,00-0019706,dl,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0019706,2011,11.398543281422462,20,0.5699271640711231,0.8055933237622263,0,12,2.0,55.0,322.0,76.0,,,,5.09,,,,,4.72,29.5,94.0,25.0,00-0019706,dl,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0020286,2007,10.895776511905195,20,0.5447888255952598,0.47870393092356,0,6,3.0,76.0,325.0,75.0,,,,4.86,,,,,,,,,00-0020286,dl,0,0,1,1,1,0,1,1,1,1,1,1,1,1
00-0020294,2002,8.612207331251481,44,0.19573198480117002,-0.311147487071781,0,2,3.0,70.0,246.0,76.0,,,,4.49,,,,,4.09,32.0,120.0,21.0,00-0020294,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0020294,2003,-2.89378488418879,28,-0.10334946014959964,0.19573198480117002,0,3,3.0,70.0,246.0,76.0,,,,4.49,,,,,4.09,32.0,120.0,21.0,00-0020294,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0020294,2005,0.019543781416341166,28,0.000697992193440756,0.11433558263301054,0,5,3.0,70.0,246.0,76.0,,,,4.49,,,,,4.09,32.0,120.0,21.0,00-0020294,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0020295,2002,4.368789649393875,30,0.1456263216464625,0.0,1,1,3.0,83.0,232.0,72.0,,,,4.65,,,,,,,,25.0,00-0020295,lb,0,0,1,1,1,0,1,1,1,1,1,1,1,0
00-0020295,2003,-2.4450193870579824,22,-0.11113724486627193,0.1456263216464625,0,2,3.0,83.0,232.0,72.0,,,,4.65,,,,,,,,25.0,00-0020295,lb,0,0,1,1,1,0,1,1,1,1,1,1,1,0
00-0020329,2001,-7.173752229989269,50,-0.14347504459978538,0.0,1,1,4.0,97.0,207.0,73.0,,,,4.6,,,,,4.21,41.0,126.0,15.0,00-0020329,db,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0020329,2002,-23.235272058911946,62,-0.37476245256309587,-0.14347504459978538,0,2,4.0,97.0,207.0,73.0,,,,4.6,,,,,4.21,41.0,126.0,15.0,00-0020329,db,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0020329,2003,-13.440210168011472,38,-0.3536897412634598,-0.37476245256309587,0,3,4.0,97.0,207.0,73.0,,,,4.6,,,,,4.21,41.0,126.0,15.0,00-0020329,db,0,0,1,1,1,0,1,1,1,1,0,0,0,0
