position,feature_set,R2,RMSE,n_features
def,baseline,0.3995493493929546,0.3115903261015388,6
def,baseline+anthro,0.5986926097618783,0.25473222241495325,34
qb,baseline,0.11394656908811918,0.2179878633018859,7
qb,baseline+anthro,0.13996735514510783,0.21476318047095874,34
rb,baseline,-0.012469560820695502,0.11208947207990504,6
rb,baseline+anthro,0.01254726998936273,0.11069601670837174,34
wr,baseline,0.2151684794226828,0.3678374573767138,6
wr,baseline+anthro,0.237786994398836,0.36249824714121215,34
