target,feature,coefficient,R2,RMSE
net_epa_per_play,team_avg_height,-0.008009376388382542,-0.0020742411687153517,0.10928409274834909
net_epa_per_play,team_avg_weight,-0.005240796034950588,-0.0020742411687153517,0.10928409274834909
off_epa_per_play,team_avg_weight,-0.005930241964674679,-0.033500861689136796,0.09008134726349118
off_epa_per_play,team_avg_height,-0.0032773713104570943,-0.033500861689136796,0.09008134726349118
def_epa_per_play,team_avg_height,0.004377105043693827,0.02337087210965272,0.08008131250386898
def_epa_per_play,team_avg_weight,-0.0005419881996294978,0.02337087210965272,0.08008131250386898
